"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"BARREÑO",2.2,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"MULTIUSOS",2.55,NA,NA,NA,"2916-010-520925"
"AGUA MINERAL                 ",0.73,NA,NA,NA,"2916-010-520925"
"AGUA MINERAL                 ",0.73,NA,NA,NA,"2916-010-520925"
"B.BASURA EXT.C.FÁCIL         ",1.6,NA,NA,NA,"2916-010-520925"
"B.BASURA EXT.C.FÁCIL         ",1.6,NA,NA,NA,"2916-010-520925"
"ESCURRE FÁCIL",2.85,NA,NA,NA,"2916-010-520925"
"CUBO FREGAR C/RUEDAS",3.85,NA,NA,NA,"2916-010-520925"
"FRIEGASUELOS PINO",0.95,NA,NA,NA,"2916-010-520925"
"FIBRAS CRUZADAS              ",2.1,NA,NA,NA,"2916-010-520925"
"FIBRAS CRUZADAS              ",2.1,NA,NA,NA,"2916-010-520925"
"LOTE BAYETAS SUAVES",1.2,NA,NA,NA,"2916-010-520925"
"FREGONA HILO MIR.",2.8,NA,NA,NA,"2916-010-520925"
"LOTE 3 BAYETAS MICRO",1.8,NA,NA,NA,"2916-010-520925"
"PARKING",0,NA,NA,NA,"2916-010-520925"
"1/2 POLLO PARTIDO",4.34,NA,NA,NA,"2233-011-451305"
"1/2 CONEJO TROCEADO",5.13,NA,NA,NA,"2233-011-451305"
"POLLO ENTERO LIMPIO",6.89,NA,NA,NA,"2233-011-451305"
"ALBONDIGAS 24 UNID.",4.55,NA,NA,NA,"2233-011-451305"
"GARROFON",1.2,NA,NA,NA,"2233-011-451305"
"AJOS TIERNOS",1.97,NA,NA,NA,"2233-011-451305"
"MEJILLON",3.2,NA,NA,NA,"2233-011-451305"
"AGUACATE BANDEJA",3.6,NA,NA,NA,"2233-011-451305"
"PIMIENTA NEGRA GRANO",1.45,NA,NA,NA,"2233-011-451305"
"QUESO AÑEJO ROMERO",5.72,NA,NA,NA,"2233-011-451305"
"Q. VIEJO INTENSO",4.73,NA,NA,NA,"2233-011-451305"
"COPOS DE AVENA",0.95,NA,NA,NA,"2233-011-451305"
"CERVEZA",6.12,NA,NA,NA,"2233-011-451305"
"PAT. CLASSICAS",1.75,NA,NA,NA,"2233-011-451305"
"PAN CRISTAL 4 UDS",2.15,NA,NA,NA,"2233-011-451305"
"T CHOCO CRUJIENTE",1.6,NA,NA,NA,"2233-011-451305"
