"archivo","ubicacion","codigo_postal","localidad","telefono_tienda","fecha","hora","op","factura_simplificada","importe_total","N.C","AID","AUT","ARC","tipos_iva"
"20231125 Mercadona 37,76 Ôé¼.pdf","CTRA. GARRUCHA A VERA S/N","04630","GARRUCHA","950133380","25/11/2023","09:09","78800","2916-010-520925","37,76","072700743","A0000000031010","612848","3030","10%, 21%"
"20231201 Mercadona 86,70.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","01/12/2023","14:41","149530","2233-011-451305","86,70","003586427","A0000000041010C0000601","744184","3030","10%, 21%, 0%"
"20231205 Mercadona 58,00.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","05/12/2023","20:44","149624","2233-011-452354","58,00","003586427","A0000000041010C0000601","480053","3030","10%, 5%, 0%"
"20231213 Mercadona 29,34.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","13/12/2023","19:36","79063","4530-017-211832","29,34","034903088","A0000000041010C0000601","283774","3030","10%, 21%, 0%"
"20231215 Mercadona 3,20.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","15/12/2023","15:21","366720","2233-010-731651","3,20","003586427","A0000000041010C0000601","918924","3030","10%"
"20231218 Mercadona 60,47 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","18/12/2023","18:56","377449","3075-010-680549","60,47","077763746","A0000000041010","580666","3030","10%, 21%, 5%, 0%"
"20231218 Mercadona 60,47.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","18/12/2023","18:56","377449","3075-010-680549","60,47","077763746","A0000000041010","580666","3030","10%, 21%, 5%, 0%"
"20231222 Mercadona 68,39.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","22/12/2023","13:25","4731","2233-024-036352","68,39","003586427","A0000000041010C0000601","747338","3030","10%, 21%, 0%"
"20231224 Mercadona 37,49 O╠ée╠ü┬╝.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","24/12/2023","13:41","211165","3095-015-301952","37,49","047072319","A0000000041010","077266","3030","10%, 21%, 0%"
"20231224 Mercadona 37,49.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","24/12/2023","13:41","211165","3095-015-301952","37,49","047072319","A0000000041010","077266","3030","10%, 21%, 0%"
"20231226 Mercadona 112,02.pdf","AVDA. DEL TEXTIL 21","46870","ONTINYENT","961484834","26/12/2023","14:05","67201","4478-018-148652","112,02","036623437","A0000000041010C0000601","382935","3030","10%, 21%, 5%, 0%"
"20231226 Mercadona 25,83 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","26/12/2023","19:20","390814","3075-015-438485","25,83","077763746","A0000000041010","206584","3030","10%, 0%"
"20231226 Mercadona 25,83.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","26/12/2023","19:20","390814","3075-015-438485","25,83","077763746","A0000000041010","206584","3030","10%, 0%"
"20231230 Mercadona 31,37 Ôé¼.pdf","CTRA. GARRUCHA A VERA S/N","04630","GARRUCHA","950133380","30/12/2023","13:38","141716","2916-018-426836","31,37","072700743","A0000000031010","999226","3030","10%, 21%"
"20231230 Mercadona 66,30 O╠ée╠ü┬╝.pdf","C/ PERIODISTA AZZATI 26","46520","SAGUNT/SAGUNTO","961485847","30/12/2023","11:19","374641","4347-013-224145","66,30","049390115","A0000000041010","967076","3030","10%, 21%, 0%"
"20231230 Mercadona 66,30.pdf","C/ PERIODISTA AZZATI 26","46520","SAGUNT/SAGUNTO","961485847","30/12/2023","11:19","374641","4347-013-224145","66,30","049390115","A0000000041010","967076","3030","10%, 21%, 0%"
"20240102 Mercadona 70,04 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","02/01/2024","12:47","391141","3075-011-817648","70,04","077763746","A0000000041010","473418","3030","10%, 21%, 0%"
"20240102 Mercadona 70,04.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","02/01/2024","12:47","391141","3075-011-817648","70,04","077763746","A0000000041010","473418","3030","10%, 21%, 0%"
"20240102 Mercadona 76,74.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","02/01/2024","20:27","390830","2233-021-391144","76,74","003586427","A0000000041010C0000601","303703","3030","10%, 21%, 5%, 0%"
"20240103 Mercadona 25,28.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","03/01/2024","11:45","931","2233-012-095411","25,28","003586427","A0000000041010C0000601","439266","3030","10%, 0%"
"20240103 Mercadona 31,16.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","03/01/2024","14:11","375866","4530-013-365885","31,16","034903088","A0000000031010","114111","3030","10%, 21%, 0%"
"20240108 Mercadona 83,73 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","08/01/2024","17:13","391141","3075-010-693348","83,73","077763746","A0000000041010","818883","3030","10%, 21%, 5%, 0%"
"20240108 Mercadona 83,73.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","08/01/2024","17:13","391141","3075-010-693348","83,73","077763746","A0000000041010","818883","3030","10%, 21%, 5%, 0%"
"20240108 Mercadona 91,26.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","08/01/2024","17:59","116490","4530-014-331237","91,26","034903088","A0000000031010","397251","3030","10%, 21%, 5%, 0%"
"20240109 Mercadona 7,35 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","09/01/2024","19:30","67594","3075-016-207716","7,35","077763746","A0000000041010","455007","3030","10%, 0%"
"20240109 Mercadona 7,35.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","09/01/2024","19:30","67594","3075-016-207716","7,35","077763746","A0000000041010","455007","3030","10%, 0%"
"20240111 Mercadona 41,20 O╠ée╠ü┬╝.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","11/01/2024","19:56","64426","3075-013-696429","41,20","077763746","A0000000041010","791356","3030","10%, 21%, 0%"
"20240111 Mercadona 41,20.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","11/01/2024","19:56","64426","3075-013-696429","41,20","077763746","A0000000041010","791356","3030","10%, 21%, 0%"
"20240112 Mercadona 135,59.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","12/01/2024","18:05","79592","4530-015-048270","135,59","034903088","A0000000031010","458501","3030","10%, 21%, 5%, 0%"
"20240112 Mercadona 21,26.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","12/01/2024","14:18","366720","2233-020-616378","21,26","003586427","A0000000041010C0000601","708965","3030","10%, 21%, 0%"
"20240115 Mercadona 117,41 O╠ée╠ü┬╝.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","15/01/2024","17:15","60700","4583-016-397921","117,41","034903138","A0000000041010","728411","3030","10%, 5%, 0%"
"20240115 Mercadona 117,41.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","15/01/2024","17:15","60700","4583-016-397921","117,41","034903138","A0000000041010","728411","3030","10%, 5%, 0%"
"20240119 Mercadona 38,99.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","19/01/2024","14:18","390830","2233-020-618950","38,99","003586427","A0000000041010C0000601","867460","3030","10%, 21%, 0%"
"20240120 Mercadona 124,56.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","20/01/2024","13:16","79063","4530-018-238935","124,56","034903088","A0000000031010","963411","3030","10%, 21%, 0%"
"20240123 Mercadona 44,13 O╠ée╠ü┬╝.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","23/01/2024","20:27","93820","4583-018-189944","44,13","034903138","A0000000041010","421887","3030","10%, 21%, 0%"
"20240123 Mercadona 44,13.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","23/01/2024","20:27","93820","4583-018-189944","44,13","034903138","A0000000041010","421887","3030","10%, 21%, 0%"
"20240126 Mercadona 26,73.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","26/01/2024","14:27","183060","2233-021-395863","26,73","003586427","A0000000041010C0000601","723777","3030","10%, 21%, 5%, 0%"
"20240127 Mercadona 108,33 O╠ée╠ü┬╝.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","27/01/2024","14:57","389879","3957-014-351184","108,33","047199765","A0000000041010","273217","3030","10%, 21%, 0%"
"20240127 Mercadona 108,33.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","27/01/2024","14:57","389879","3957-014-351184","108,33","047199765","A0000000041010","273217","3030","10%, 21%, 0%"
"20240127 Mercadona 153,88.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","27/01/2024","13:46","79063","4530-020-054189","153,88","034903088","A0000000031010","063441","3030","10%, 21%, 0%"
"20240131 Mercadona 16,82 O╠ée╠ü┬╝.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","31/01/2024","20:12","111435","3957-013-306655","16,82","047199765","A0000000041010","766042","3030","10%, 21%, 0%"
"20240131 Mercadona 16,82.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","31/01/2024","20:12","111435","3957-013-306655","16,82","047199765","A0000000041010","766042","3030","10%, 21%, 0%"
"20240202 Mercadona 132,73.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","02/02/2024","19:19","390824","4530-013-377589","132,73","034903088","A0000000031010","899211","3030","10%, 21%, 0%"
"20240202 Mercadona 67,71.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","02/02/2024","14:27","390830","2233-020-623626","67,71","003586427","A0000000041010C0000601","418883","3030","10%, 21%, 0%"
"20240209 Mercadona 31,93.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","09/02/2024","12:42","149127","2233-021-398669","31,93","003586427","A0000000041010C0000601","786175","3030","4%, 10%, 21%, 0%"
"20240210 Mercadona 164,29.pdf","C/ ALICANTE 83","03801","ALCOI/ALCOY","965366422","10/02/2024","13:38","59209","4530-014-342224","164,29","034903088","A0000000031010","083231","3030","10%, 21%, 0%"
"20240215 Mercadona 104,63.pdf","AVDA. VALENCIA 41","03830","MURO DE ALCOY","966516066","15/02/2024","20:16","68134","2233-020-628230","104,63","003586427","A0000000041010C0000601","927497","3030","0%, 5%, 10%, 21%"
